date,time,currency,impact,event,detail,actual,forecast,previous,day,timezone
05/03/2009,13:30,USD,orange,Revised Nonfarm Productivity q/q,https://www.forexfactory.com/calendar?month=march.2009#detail=11560,-0.4%,1.4%,3.2%,Thu,Africa/Lagos
05/03/2009,13:30,USD,yellow,Revised Unit Labor Costs q/q,https://www.forexfactory.com/calendar?month=march.2009#detail=11561,5.7%,3.5%,1.8%,Thu,Africa/Lagos
05/03/2009,14:00,CAD,orange,Gov Council Member Duguay Speaks,https://www.forexfactory.com/calendar?month=march.2009#detail=17646,,,,Thu,Africa/Lagos
05/03/2009,15:00,CAD,red,Ivey PMI,https://www.forexfactory.com/calendar?month=march.2009#detail=13856,45.2,37.5,36.1,Thu,Africa/Lagos
05/03/2009,15:00,USD,orange,Factory Orders m/m,https://www.forexfactory.com/calendar?month=march.2009#detail=11537,-1.9%,-3.5%,-4.9%,Thu,Africa/Lagos
05/03/2009,15:00,USD,orange,FOMC Member Kohn Speaks,https://www.forexfactory.com/calendar?month=march.2009#detail=17465,,,,Thu,Africa/Lagos
05/03/2009,15:00,USD,orange,Mortgage Delinquencies,https://www.forexfactory.com/calendar?month=march.2009#detail=30054,7.88%,,6.99%,Thu,Africa/Lagos
05/03/2009,15:00,USD,yellow,Treasury Sec Geithner Speaks,https://www.forexfactory.com/calendar?month=march.2009#detail=17462,,,,Thu,Africa/Lagos
05/03/2009,15:30,USD,yellow,Natural Gas Storage,https://www.forexfactory.com/calendar?month=march.2009#detail=11720,-102B,-95B,-101B,Thu,Africa/Lagos
05/03/2009,17:45,USD,orange,FOMC Member Lockhart Speaks,https://www.forexfactory.com/calendar?month=march.2009#detail=17412,,,,Thu,Africa/Lagos
05/03/2009,22:30,AUD,yellow,AIG Construction Index,https://www.forexfactory.com/calendar?month=march.2009#detail=10837,29.5,,34.1,Thu,Africa/Lagos
06/03/2009,08:15,CHF,orange,CPI m/m,https://www.forexfactory.com/calendar?month=march.2009#detail=13538,0.2%,-0.1%,-0.8%,Fri,Africa/Lagos
06/03/2009,09:30,GBP,red,PPI Input m/m,https://www.forexfactory.com/calendar?month=march.2009#detail=12461,0.6%,0.1%,0.9%,Fri,Africa/Lagos
06/03/2009,09:30,GBP,yellow,PPI Output m/m,https://www.forexfactory.com/calendar?month=march.2009#detail=12462,0.1%,0.1%,0.1%,Fri,Africa/Lagos
06/03/2009,13:30,USD,red,Non-Farm Employment Change,https://www.forexfactory.com/calendar?month=march.2009#detail=10598,-651K,-647K,-655K,Fri,Africa/Lagos
06/03/2009,13:30,USD,red,Unemployment Rate,https://www.forexfactory.com/calendar?month=march.2009#detail=10597,8.1%,7.9%,7.6%,Fri,Africa/Lagos
06/03/2009,13:30,USD,orange,Average Hourly Earnings m/m,https://www.forexfactory.com/calendar?month=march.2009#detail=10599,0.2%,0.3%,0.2%,Fri,Africa/Lagos
06/03/2009,16:15,USD,orange,FOMC Member Dudley Speaks,https://www.forexfactory.com/calendar?month=march.2009#detail=17467,,,,Fri,Africa/Lagos
06/03/2009,20:00,USD,yellow,Consumer Credit m/m,https://www.forexfactory.com/calendar?month=march.2009#detail=11577,1.8B,-4.2B,-7.5B,Fri,Africa/Lagos
08/03/2009,07:00,CAD,gray,Daylight Saving Time Shift,https://www.forexfactory.com/calendar?month=march.2009#detail=12152,,,,Sun,Africa/Lagos
08/03/2009,07:00,USD,gray,Daylight Saving Time Shift,https://www.forexfactory.com/calendar?month=march.2009#detail=12156,,,,Sun,Africa/Lagos
08/03/2009,23:50,JPY,yellow,Bank Lending y/y,https://www.forexfactory.com/calendar?month=march.2009#detail=13831,3.5%,,3.6%,Sun,Africa/Lagos
08/03/2009,23:50,JPY,yellow,M2 Money Stock y/y,https://www.forexfactory.com/calendar?month=march.2009#detail=14326,2.1%,1.9%,2.0%,Sun,Africa/Lagos
08/03/2009,23:52,JPY,yellow,Current Account,https://www.forexfactory.com/calendar?month=march.2009#detail=14526,0.26T,0.40T,0.56T,Sun,Africa/Lagos
09/03/2009,05:00,JPY,yellow,Economy Watchers Sentiment,https://www.forexfactory.com/calendar?month=march.2009#detail=14413,19.4,17.3,17.1,Mon,Africa/Lagos
09/03/2009,06:45,CHF,yellow,Unemployment Rate,https://www.forexfactory.com/calendar?month=march.2009#detail=13578,3.1%,3.1%,3.0%,Mon,Africa/Lagos
09/03/2009,All Day,EUR,yellow,Eurogroup Meetings,https://www.forexfactory.com/calendar?month=march.2009#detail=44062,,,,Mon,Africa/Lagos
09/03/2009,09:30,EUR,yellow,Sentix Investor Confidence,https://www.forexfactory.com/calendar?month=march.2009#detail=13772,-42.7,-37.8,-36.1,Mon,Africa/Lagos
09/03/2009,12:15,CAD,red,Housing Starts,https://www.forexfactory.com/calendar?month=march.2009#detail=14196,135K,144K,154K,Mon,Africa/Lagos
10/03/2009,00:01,GBP,orange,BRC Retail Sales Monitor y/y,https://www.forexfactory.com/calendar?month=march.2009#detail=12695,-1.8%,,1.1%,Tue,Africa/Lagos
10/03/2009,00:01,GBP,orange,RICS House Price Balance,https://www.forexfactory.com/calendar?month=march.2009#detail=12300,-78%,-76%,-77%,Tue,Africa/Lagos
10/03/2009,00:30,AUD,orange,ANZ Job Advertisements m/m,https://www.forexfactory.com/calendar?month=march.2009#detail=19264,-10.4%,,-6.3%,Tue,Africa/Lagos
10/03/2009,00:30,AUD,orange,NAB Business Confidence,https://www.forexfactory.com/calendar?month=march.2009#detail=13061,-22,,-32,Tue,Africa/Lagos
10/03/2009,02:00,CNY,orange,CPI y/y,https://www.forexfactory.com/calendar?month=march.2009#detail=18520,-1.6%,-1.0%,1.0%,Tue,Africa/Lagos
10/03/2009,02:00,CNY,orange,PPI y/y,https://www.forexfactory.com/calendar?month=march.2009#detail=18547,-4.5%,-4.5%,-3.3%,Tue,Africa/Lagos
10/03/2009,05:00,JPY,yellow,Leading Indicators,https://www.forexfactory.com/calendar?month=march.2009#detail=14415,77.1%,77.2%,79.4%,Tue,Africa/Lagos
10/03/2009,06:08,JPY,yellow,Prelim Machine Tool Orders y/y,https://www.forexfactory.com/calendar?month=march.2009#detail=14596,-83.9%,,-84.1%,Tue,Africa/Lagos
10/03/2009,07:00,EUR,orange,German Trade Balance,https://www.forexfactory.com/calendar?month=march.2009#detail=11815,8.3B,10.0B,11.0B,Tue,Africa/Lagos
10/03/2009,07:00,EUR,yellow,German Final CPI m/m,https://www.forexfactory.com/calendar?month=march.2009#detail=11849,0.6%,0.6%,0.6%,Tue,Africa/Lagos
10/03/2009,07:45,EUR,orange,French Industrial Production m/m,https://www.forexfactory.com/calendar?month=march.2009#detail=13880,-3.1%,-0.7%,-1.5%,Tue,Africa/Lagos
10/03/2009,07:45,EUR,yellow,French Gov Budget Balance,https://www.forexfactory.com/calendar?month=march.2009#detail=13944,-8.1B,,-56.5B,Tue,Africa/Lagos
10/03/2009,07:45,EUR,yellow,French Trade Balance,https://www.forexfactory.com/calendar?month=march.2009#detail=13868,-4.5B,-3.0B,-3.0B,Tue,Africa/Lagos
10/03/2009,All Day,EUR,yellow,ECOFIN Meetings,https://www.forexfactory.com/calendar?month=march.2009#detail=36351,,,,Tue,Africa/Lagos
10/03/2009,09:30,GBP,red,Manufacturing Production m/m,https://www.forexfactory.com/calendar?month=march.2009#detail=10809,-2.9%,-1.5%,-1.9%,Tue,Africa/Lagos
10/03/2009,09:30,GBP,yellow,Industrial Production m/m,https://www.forexfactory.com/calendar?month=march.2009#detail=10808,-2.6%,-1.2%,-1.5%,Tue,Africa/Lagos
10/03/2009,10:37,GBP,yellow,10-y Bond Auction,https://www.forexfactory.com/calendar?month=march.2009#detail=43121,3.07|2.1,,3.94|1.8,Tue,Africa/Lagos
10/03/2009,12:30,USD,red,Fed Chairman Bernanke Speaks,https://www.forexfactory.com/calendar?month=march.2009#detail=17479,,,,Tue,Africa/Lagos
10/03/2009,12:30,USD,yellow,NFIB Small Business Index,https://www.forexfactory.com/calendar?month=march.2009#detail=48364,82.6,,84.1,Tue,Africa/Lagos
10/03/2009,14:00,USD,yellow,Final Wholesale Inventories m/m,https://www.forexfactory.com/calendar?month=march.2009#detail=11698,-0.7%,-1.0%,-1.5%,Tue,Africa/Lagos
10/03/2009,14:00,USD,yellow,RCM/TIPP Economic Optimism,https://www.forexfactory.com/calendar?month=march.2009#detail=14733,45.3,42.8,44.6,Tue,Africa/Lagos
10/03/2009,15:00,USD,yellow,JOLTS Job Openings,https://www.forexfactory.com/calendar?month=march.2009#detail=49295,2.99M,,3.22M,Tue,Africa/Lagos
10/03/2009,21:45,NZD,yellow,Overseas Trade Index q/q,https://www.forexfactory.com/calendar?month=march.2009#detail=12572,-0.9%,-3.0%,-0.9%,Tue,Africa/Lagos
10/03/2009,23:30,AUD,orange,Westpac Consumer Sentiment,https://www.forexfactory.com/calendar?month=march.2009#detail=14768,-0.2%,,-4.6%,Tue,Africa/Lagos
10/03/2009,23:50,JPY,orange,Core Machinery Orders m/m,https://www.forexfactory.com/calendar?month=march.2009#detail=13788,-3.2%,-4.9%,-1.7%,Tue,Africa/Lagos
10/03/2009,23:50,JPY,yellow,PPI y/y,https://www.forexfactory.com/calendar?month=march.2009#detail=13787,-1.1%,-1.3%,-0.3%,Tue,Africa/Lagos
11/03/2009,00:01,GBP,yellow,NIESR GDP Estimate,https://www.forexfactory.com/calendar?month=march.2009#detail=13267,-1.8%,,-1.7%,Wed,Africa/Lagos
11/03/2009,00:30,AUD,red,Home Loans m/m,https://www.forexfactory.com/calendar?month=march.2009#detail=13085,3.5%,4.0%,6.7%,Wed,Africa/Lagos
11/03/2009,02:00,CNY,orange,Fixed Asset Investment ytd/y,https://www.forexfactory.com/calendar?month=march.2009#detail=19750,26.5%,21.5%,26.1%,Wed,Africa/Lagos
